#Frequency,Eps1,Eps2,Eps1,Eps2
100.281,-2057.76902,371.3784127,5,0.1
100.924,-2038.202549,357.4649578,5,0.1
101.567,-2018.933312,342.882628,5,0.1
102.21,-1999.955697,329.7378273,5,0.1
102.852,-1983.482733,317.4837602,5,0.1
103.495,-1978.730031,308.2430722,5,0.1
104.138,-1972.720714,263.8674768,5,0.1
104.781,-1942.36743,226.8425322,5,0.1
105.424,-1905.50666,194.2897927,5,0.1
106.067,-1858.193034,163.8697759,5,0.1
106.709,-1799.478313,148.5167915,5,0.1
107.352,-1743.088441,156.9321401,5,0.1
107.995,-1704.824158,180.8396089,5,0.1
108.638,-1688.227065,202.3357095,5,0.1
109.281,-1683.968372,209.3590163,5,0.1
109.924,-1678.810655,201.412431,5,0.1
110.566,-1666.056367,187.6386011,5,0.1
111.209,-1647.829772,174.0572673,5,0.1
111.852,-1626.779333,160.4523256,5,0.1
112.495,-1602.797083,146.8956726,5,0.1
113.138,-1573.989264,133.2220996,5,0.1
113.781,-1535.29102,123.6525302,5,0.1
114.423,-1506.167153,141.5892578,5,0.1
115.066,-1492.481029,139.6578897,5,0.1
115.709,-1472.886954,136.9084841,5,0.1
116.352,-1452.591419,134.0814637,5,0.1
116.995,-1431.831551,131.2092569,5,0.1
117.637,-1410.423999,128.2701943,5,0.1
118.28,-1387.632824,125.1664909,5,0.1
118.923,-1358.917088,121.2901024,5,0.1
119.566,-1325.738672,130.8535375,5,0.1
120.209,-1308.031349,157.9501703,5,0.1
120.852,-1307.440638,167.4549054,5,0.1
121.494,-1303.060646,166.6093424,5,0.1
122.137,-1293.798035,164.8237176,5,0.1
122.78,-1282.984628,162.7507729,5,0.1
123.423,-1271.143557,160.4896873,5,0.1
124.066,-1258.2199,158.035283,5,0.1
124.709,-1240.219933,154.6368239,5,0.1
125.351,-1230.213797,169.8767274,5,0.1
125.994,-1227.540909,157.608742,5,0.1
126.637,-1208.760134,153.5080454,5,0.1
127.28,-1192.202955,158.7402734,5,0.1
127.923,-1183.405701,165.3040174,5,0.1
128.566,-1177.257299,164.4675045,5,0.1
129.208,-1165.868935,162.0689121,5,0.1
129.851,-1151.671347,166.6741787,5,0.1
130.494,-1145.635336,180.9110929,5,0.1
131.137,-1155.508184,190.5237224,5,0.1
131.78,-1172.751272,180.5044994,5,0.1
132.423,-1177.670771,150.333736,5,0.1
133.065,-1160.66093,120.8199895,5,0.1
133.708,-1132.029718,105.3021407,5,0.1
134.351,-1104.766909,103.5588438,5,0.1
134.994,-1084.177604,107.4435207,5,0.1
135.637,-1069.824098,113.1406017,5,0.1
136.279,-1060.89746,117.1498999,5,0.1
136.922,-1054.910303,116.5391786,5,0.1
137.565,-1045.845859,109.3461051,5,0.1
138.208,-1030.237426,104.3084773,5,0.1
138.851,-1013.669424,106.1287291,5,0.1
139.494,-1002.551182,112.2175617,5,0.1
140.136,-997.0479556,114.4761426,5,0.1
140.779,-990.9451771,110.9683212,5,0.1
141.422,-980.5705451,106.4634306,5,0.1
142.065,-968.3968876,105.1562809,5,0.1
142.708,-956.887688,104.6093909,5,0.1
143.351,-945.7271896,104.7388946,5,0.1
143.993,-933.81761,104.0397709,5,0.1
144.636,-919.7831783,105.4591272,5,0.1
145.279,-905.2069424,110.9339293,5,0.1
145.922,-893.893826,122.4868486,5,0.1
146.565,-890.0964175,135.9678471,5,0.1
147.208,-893.8528153,146.0735585,5,0.1
147.85,-900.4129198,147.700964,5,0.1
148.493,-903.6266959,144.7350245,5,0.1
149.136,-904.782066,143.4461789,5,0.1
149.779,-910.2315561,143.491493,5,0.1
150.422,-922.0336805,136.0286102,5,0.1
151.065,-931.0068604,113.1684589,5,0.1
151.707,-924.2381441,82.32191642,5,0.1
152.35,-901.4443994,58.87346695,5,0.1
152.993,-873.8893952,49.91746842,5,0.1
153.636,-851.2354265,50.73047645,5,0.1
154.279,-835.1480016,53.29705349,5,0.1
154.921,-821.3165057,53.27986698,5,0.1
155.564,-806.119751,53.32645724,5,0.1
156.207,-789.0747434,55.32245572,5,0.1
156.85,-772.008451,62.81695129,5,0.1
157.493,-759.236977,75.72663943,5,0.1
158.136,-754.1225681,90.79023177,5,0.1
158.778,-757.1531405,102.4411913,5,0.1
159.421,-764.6751469,105.6665755,5,0.1
160.064,-769.6849017,99.42933486,5,0.1
160.707,-767.4473995,89.85853833,5,0.1
161.35,-758.8031885,81.75345047,5,0.1
161.993,-746.9664088,78.46796385,5,0.1
162.635,-735.5314126,79.35431048,5,0.1
