#Frequency,Eps1,Eps2,Eps1,Eps2
100.281,-60317.35327,8168.510046,5,0.1
100.924,-60985.67291,6941.544871,5,0.1
101.567,-60484.06342,5189.94181,5,0.1
102.21,-58995.89932,4130.654017,5,0.1
102.852,-57540.83955,4062.066027,5,0.1
103.495,-56722.59646,4275.256536,5,0.1
104.138,-56304.97598,4039.399244,5,0.1
104.781,-55587.88834,3249.996938,5,0.1
105.424,-54189.2694,2570.978241,5,0.1
106.067,-52484.30077,2619.228703,5,0.1
106.709,-51099.7983,3375.071564,5,0.1
107.352,-50446.17241,4454.760061,5,0.1
107.995,-50494.0867,5176.173435,5,0.1
108.638,-50788.68015,5268.500406,5,0.1
109.281,-50916.8664,4867.398258,5,0.1
109.924,-50754.24081,4264.214473,5,0.1
110.566,-50338.40489,3550.023982,5,0.1
111.209,-49587.69319,2759.864298,5,0.1
111.852,-48417.94426,2149.738661,5,0.1
112.495,-47115.01947,2104.519784,5,0.1
113.138,-46125.33712,2455.69986,5,0.1
113.781,-45524.8188,2759.144854,5,0.1
114.423,-45017.49391,2770.67294,5,0.1
115.066,-44290.20546,2684.933642,5,0.1
115.709,-43403.7441,2895.854691,5,0.1
116.352,-42783.22492,3530.610462,5,0.1
116.995,-42721.56336,4132.118925,5,0.1
117.637,-43013.37873,4210.906604,5,0.1
118.28,-43131.02276,3664.588919,5,0.1
118.923,-42669.09557,2893.535026,5,0.1
119.566,-41721.50637,2454.473508,5,0.1
120.209,-40718.15018,2531.624011,5,0.1
120.852,-40022.02321,2950.889856,5,0.1
121.494,-39710.85909,3332.4029,5,0.1
122.137,-39596.30894,3461.637161,5,0.1
122.78,-39419.66333,3327.426238,5,0.1
123.423,-39080.41433,3174.959918,5,0.1
124.066,-38694.81372,3097.20371,5,0.1
124.709,-38356.75027,3041.394489,5,0.1
125.351,-38031.78804,2897.835834,5,0.1
125.994,-37617.31721,2703.184959,5,0.1
126.637,-37092.95949,2560.280982,5,0.1
127.28,-36547.22414,2560.213342,5,0.1
127.923,-36076.57275,2635.241146,5,0.1
128.566,-35649.36197,2697.188515,5,0.1
129.208,-35248.57376,2825.627251,5,0.1
129.851,-34940.09097,3000.155237,5,0.1
130.494,-34787.29059,3177.794057,5,0.1
131.137,-34758.53943,3173.863431,5,0.1
131.78,-34691.70809,2968.090616,5,0.1
132.423,-34463.14182,2640.972693,5,0.1
133.065,-34050.20896,2352.571507,5,0.1
133.708,-33563.68184,2215.547762,5,0.1
134.351,-33116.91121,2171.369448,5,0.1
134.994,-32737.27483,2157.977945,5,0.1
135.637,-32397.95149,2100.940739,5,0.1
136.279,-32006.97758,1982.30992,5,0.1
136.922,-31535.95558,1927.357585,5,0.1
137.565,-31036.15434,1958.664184,5,0.1
138.208,-30588.7716,2132.017031,5,0.1
138.851,-30265.62187,2342.692882,5,0.1
139.494,-30055.52166,2539.789332,5,0.1
140.136,-29919.70924,2658.981781,5,0.1
140.779,-29822.17242,2729.563504,5,0.1
141.422,-29766.86977,2721.981353,5,0.1
142.065,-29707.81894,2589.14998,5,0.1
142.708,-29532.45647,2329.764636,5,0.1
143.351,-29187.34564,2107.612667,5,0.1
143.993,-28764.03736,2022.486589,5,0.1
144.636,-28393.32682,2079.996205,5,0.1
145.279,-28122.23692,2145.446548,5,0.1
145.922,-27905.75917,2186.672346,5,0.1
146.565,-27699.67491,2181.032725,5,0.1
147.208,-27488.72793,2183.796821,5,0.1
147.85,-27292.04789,2178.567749,5,0.1
148.493,-27116.19412,2175.599848,5,0.1
149.136,-26962.09343,2139.095013,5,0.1
149.779,-26816.87201,2077.356182,5,0.1
150.422,-26665.61905,1963.011568,5,0.1
151.065,-26474.19879,1811.486863,5,0.1
151.707,-26231.85606,1649.684382,5,0.1
152.35,-25937.65122,1495.877022,5,0.1
152.993,-25584.27404,1366.706357,5,0.1
153.636,-25192.35694,1319.311769,5,0.1
154.279,-24825.95854,1361.322112,5,0.1
154.921,-24528.02088,1444.988962,5,0.1
155.564,-24296.16567,1515.973189,5,0.1
156.207,-24070.05922,1524.940686,5,0.1
156.85,-23810.11376,1552.053879,5,0.1
157.493,-23554.97368,1621.870495,5,0.1
158.136,-23348.49958,1730.181456,5,0.1
158.778,-23215.33654,1822.603474,5,0.1
159.421,-23106.3155,1831.099992,5,0.1
160.064,-22952.23472,1798.681108,5,0.1
160.707,-22759.08115,1789.883496,5,0.1
161.35,-22568.94007,1815.460576,5,0.1
161.993,-22412.8653,1857.774426,5,0.1
162.635,-22284.18771,1868.714881,5,0.1
163.278,-22145.64255,1851.268156,5,0.1
163.921,-21980.72829,1830.572907,5,0.1
164.564,-21806.80974,1841.473237,5,0.1
165.207,-21655.43599,1873.972944,5,0.1
165.85,-21544.90604,1910.940564,5,0.1
166.492,-21469.86804,1907.331006,5,0.1
167.135,-21383.90236,1845.087482,5,0.1
167.778,-21250.18497,1764.946147,5,0.1
168.421,-21092.26693,1720.438127,5,0.1
169.064,-20950.813,1690.853195,5,0.1
169.707,-20833.92767,1652.342741,5,0.1
170.349,-20718.46712,1566.184536,5,0.1
170.992,-20558.63515,1446.849363,5,0.1
171.635,-20335.8414,1335.639715,5,0.1
172.278,-20071.19967,1280.959631,5,0.1
172.921,-19809.13692,1289.602636,5,0.1
173.563,-19576.1678,1338.676253,5,0.1
174.206,-19374.66771,1410.597083,5,0.1
174.849,-19214.97496,1506.233758,5,0.1
175.492,-19108.88319,1595.369766,5,0.1
176.135,-19042.80444,1651.063479,5,0.1
176.778,-19000.53149,1666.812464,5,0.1
177.42,-18952.86695,1618.171677,5,0.1
